epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,13471,0.38793,0.2473,0.87821,0.99924,1,0.995,0.94902,0.33266,0.18363,0.80245,0.0004358,0.0004358,0.0004358
81,13639,0.3889,0.24891,0.85714,0.99886,1,0.995,0.94903,0.31692,0.17147,0.79381,0.000416,0.000416,0.000416
82,13807.7,0.37146,0.23958,0.86363,0.99856,1,0.995,0.95096,0.32139,0.17945,0.78723,0.0003962,0.0003962,0.0003962
83,13976,0.37646,0.24326,0.87417,0.99862,1,0.995,0.95767,0.32706,0.17812,0.78518,0.0003764,0.0003764,0.0003764
84,14144.7,0.3928,0.25597,0.88169,0.99753,1,0.995,0.95577,0.32437,0.18257,0.7912,0.0003566,0.0003566,0.0003566
85,14313.1,0.36449,0.23915,0.86101,0.99787,1,0.995,0.95717,0.32859,0.17738,0.79611,0.0003368,0.0003368,0.0003368
86,14481.5,0.37176,0.23882,0.86723,0.99888,1,0.995,0.9481,0.34117,0.17966,0.80174,0.000317,0.000317,0.000317
87,14650.6,0.37306,0.23505,0.8685,0.99932,1,0.995,0.95228,0.32761,0.17423,0.78738,0.0002972,0.0002972,0.0002972
88,14819.2,0.36376,0.23538,0.86254,0.99943,1,0.995,0.95011,0.32872,0.17215,0.79033,0.0002774,0.0002774,0.0002774
89,14987.3,0.36452,0.23624,0.86061,0.99918,1,0.995,0.94294,0.32535,0.17524,0.79336,0.0002576,0.0002576,0.0002576
90,15155.8,0.36234,0.23742,0.85904,0.99943,1,0.995,0.95088,0.32271,0.17071,0.79249,0.0002378,0.0002378,0.0002378
91,15322.9,0.30387,0.18591,0.80222,0.99809,1,0.995,0.95281,0.31699,0.1736,0.78946,0.000218,0.000218,0.000218
92,15489.8,0.29351,0.17769,0.79646,0.99912,1,0.995,0.95778,0.3249,0.17677,0.79247,0.0001982,0.0001982,0.0001982
93,15656.7,0.29102,0.18038,0.7953,0.99968,1,0.995,0.95848,0.32435,0.17507,0.79051,0.0001784,0.0001784,0.0001784
94,15823.3,0.28801,0.17667,0.79415,0.99972,1,0.995,0.95582,0.32074,0.17258,0.78862,0.0001586,0.0001586,0.0001586
95,15989.8,0.2993,0.17741,0.80107,0.99969,1,0.995,0.95712,0.32049,0.17102,0.79226,0.0001388,0.0001388,0.0001388
96,16156.7,0.29422,0.17793,0.79801,0.99967,1,0.995,0.9537,0.3188,0.16814,0.79525,0.000119,0.000119,0.000119
97,16323.2,0.28507,0.17388,0.79504,0.99966,1,0.995,0.94968,0.3249,0.17204,0.79888,9.92e-05,9.92e-05,9.92e-05
98,16489.9,0.28249,0.168,0.80814,0.99968,1,0.995,0.95269,0.31952,0.1618,0.7935,7.94e-05,7.94e-05,7.94e-05
99,16656.6,0.27895,0.16494,0.7951,0.99971,1,0.995,0.95608,0.32363,0.16297,0.79329,5.96e-05,5.96e-05,5.96e-05
100,16823.3,0.28343,0.16975,0.79649,0.99976,1,0.995,0.95646,0.31672,0.15949,0.7925,3.98e-05,3.98e-05,3.98e-05
